gene	log2FoldChange	padj
Gene567	1.032463937	0.088352389
Gene568	1.128293845	0.718767275
Gene569	0.804019869	0.100470285
Gene570	0.715021141	2.81E-02
Gene571	0.798208537	0.056024594
Gene572	0.172164383	0.582761166
Gene573	0.052358533	0.837343407
Gene574	0.495355393	0.875464745
Gene575	1.66211827	0.296757574
Gene576	0.582499809	0.824982508
Gene577	0.11397585	0.76187444
Gene578	0.309941336	0.439464754
Gene579	0.416271006	0.126029108
Gene580	0.881590456	0.106527497
Gene581	0.734185624	0.508667989
Gene582	0.076867165	0.799086284
Gene583	1.508125923	0.075551217
Gene584	0.229738788	0.393149075
Gene585	0.714387914	0.078508931
Gene586	0.24817677	0.503183266
Gene587	1.854900872	1
Gene588	0.660254391	0.052485859
Gene589	0.848127474	0.556802196
Gene590	0.512879835	0.216461128
Gene591	0.042057891	0.779637907
Gene592	0.266883044	0.570689621
Gene593	0.535071361	0.062504585
Gene594	0.414288976	0.295938045
Gene595	0.763945724	0.039801377
Gene596	0.513240022	0.274798361
Gene597	0.26960076	0.713393964
Gene598	0.182137842	0.589643492
Gene599	1.280134091	0.070054151
Gene600	0.156723699	0.659335193
Gene601	0.112002045	0.749543518
Gene602	0.259965095	0.510658264
Gene603	0.378706395	0.039919699
Gene604	0.437754311	0.14785093
Gene605	0.334490856	0.271957403
Gene606	0.752110669	0.031990683
Gene607	0.012378954	0.954459979
Gene608	1.35653849	0.525190134
Gene609	0.545779471	0.180123148
Gene610	0.285105325	0.506263815
Gene611	0.310542353	0.303890228
Gene612	0.472483269	0.089488241
Gene613	0.041313074	0.887258864
Gene614	0.31505755	0.16265261
Gene615	0.493829994	0.188211922
Gene616	0.181410118	0.642899859
Gene617	0.422691025	0.449723444
Gene618	0.053984123	0.817792938
Gene619	0.008804873	0.969291684
Gene620	0.418171898	0.114138033
Gene621	1.005301313	0.133147732
Gene622	0.495355393	0.875464745
Gene623	0.401329838	0.047488089
Gene624	0.05801016	0.932270652
Gene625	0.561190203	0.042388583
Gene626	0.323253007	0.229552203
Gene627	0.926400406	0.055842749
Gene628	0.178613839	0.567370995
Gene629	0.119271572	0.793819177
Gene630	0.579189202	0.39215534
Gene631	0.092734625	0.831170964
Gene632	0.600832749	0.15006187
Gene633	0.074298719	0.657316417
Gene634	0.062246099	0.834536699
Gene635	0.661353386	0.050564151
Gene636	0.318283489	0.286456522
Gene637	0.348485799	0.214625775
Gene638	0.023257083	0.975847353
Gene639	0.992170952	0.04971868
Gene640	0.147040276	0.343769039
Gene641	0.050268879	0.827046295
Gene642	0.316146535	7.03E-01
Gene643	0.149805442	0.608093137
Gene644	0.292389329	0.167663252
Gene645	0.157208573	0.643131486
Gene646	0.070411996	0.759780813
Gene647	0.574104583	0.224234856
Gene648	0.033386212	0.829652031
Gene649	0.624968443	0.065209694
Gene650	0.768247808	0.110101114
Gene651	0.277346794	0.241637162
Gene652	0.016129361	0.937727222
Gene653	1.071251836	0.734663796
Gene654	0.098476816	0.64178853
Gene655	1.076084256	0.075629016
Gene656	0.001482433	0.997686964
Gene657	0.104352134	0.642039036
Gene658	1.584231362	0.142879247
Gene659	0.247273179	0.673127896
Gene660	0.352013971	0.184480078
Gene661	3.334301902	0.037178377
Gene662	0.46584588	0.230186139
Gene663	0.421935233	0.755141028
Gene664	0.126027777	0.769804187
Gene665	0.137524565	0.644134778
Gene666	0.24084324	0.580118135
Gene667	0.089144808	0.690850555
